Date,Close/Last,Volume,Open,High,Low
10/16/2025,$57.79,16694310,$65.15,$67.68,$57.43
10/15/2025,$63.82,10656800,$62.22,$65.50,$60.88
10/14/2025,$60.82,7166674,$62.00,$62.75,$60.4911
10/13/2025,$64.28,8221799,$63.00,$65.47,$61.36
10/10/2025,$61.06,16558790,$69.67,$70.40,$60.76
10/09/2025,$67.94,11430470,$70.16,$70.79,$67.1481
10/08/2025,$71.08,27356460,$63.00,$71.48,$62.52
10/07/2025,$60.84,25145750,$61.60,$64.17,$58.78
10/06/2025,$56.96,28006340,$53.46,$61.75,$51.10
10/03/2025,$53.04,11308970,$52.50,$56.09,$52.33
10/02/2025,$51.91,6991124,$51.17,$52.45,$51.12
10/01/2025,$50.30,11446290,$51.28,$52.29,$49.53
09/30/2025,$51.87,7998420,$53.65,$54.50,$51.34
09/29/2025,$53.15,5645674,$54.06,$54.30,$52.64
09/26/2025,$52.91,7584527,$53.82,$54.39,$52.13
09/25/2025,$54.39,6701476,$53.88,$55.12,$52.45
09/24/2025,$55.21,9373614,$57.50,$57.70,$54.80
09/23/2025,$58.13,7677250,$59.59,$59.59,$56.89
09/22/2025,$58.79,9769227,$56.30,$59.6891,$55.3629
09/19/2025,$56.81,10658520,$59.37,$59.49,$55.24
09/18/2025,$58.41,12053100,$55.48,$58.88,$54.663
09/17/2025,$54.78,11400910,$53.67,$57.49,$53.31
09/16/2025,$53.67,5707469,$54.19,$55.00,$52.22
09/15/2025,$54.12,8938762,$54.67,$55.55,$52.30
09/12/2025,$53.07,8610960,$56.06,$56.30,$53.00
09/11/2025,$55.96,13224340,$51.05,$56.32,$51.04
09/10/2025,$51.06,9614213,$53.61,$55.21,$50.815
09/09/2025,$53.32,7845422,$52.45,$53.615,$51.43
09/08/2025,$52.47,9662785,$54.17,$55.32,$52.40
09/05/2025,$54.86,20813800,$52.38,$54.96,$50.49
09/04/2025,$54.56,29316440,$55.90,$57.35,$53.20
09/03/2025,$68.13,12276060,$66.70,$68.59,$65.54
09/02/2025,$65.57,8027796,$68.96,$68.96,$64.5501
08/29/2025,$70.28,3420015,$70.51,$71.4399,$68.90
08/28/2025,$71.26,3137962,$70.18,$72.11,$69.31
08/27/2025,$69.88,3915326,$70.50,$71.68,$68.522
08/26/2025,$70.13,3355410,$70.88,$72.20,$69.30
08/25/2025,$70.40,6761607,$74.56,$75.70,$69.61
08/22/2025,$77.30,4151861,$73.41,$78.00,$72.41
08/21/2025,$72.76,2786415,$73.10,$74.07,$71.82
08/20/2025,$74.04,8574041,$70.00,$75.15,$67.00
08/19/2025,$69.41,9025600,$76.42,$76.57,$68.61
08/18/2025,$76.16,4296767,$79.20,$80.7499,$75.50
08/15/2025,$79.42,4685886,$79.00,$81.00,$76.56
08/14/2025,$76.31,8133858,$81.50,$82.94,$76.00
08/13/2025,$81.91,8138917,$90.96,$91.00,$81.05
08/12/2025,$87.36,10473600,$84.00,$90.69,$83.91
08/11/2025,$82.50,8644610,$78.78,$84.00,$78.00
08/08/2025,$78.11,7353690,$82.54,$82.60,$78.00
08/07/2025,$78.24,14153660,$86.65,$87.88,$77.80
08/06/2025,$90.32,28703580,$76.90,$91.49,$76.65
08/05/2025,$79.08,25581080,$91.19,$94.00,$79.00
08/04/2025,$88.60,39710100,$113.92,$114.285,$88.60
08/01/2025,$122.00,56350630,$134.82,$142.92,$110.11
07/31/2025,$115.50,64409030,$85.00,$124.63,$84.105
07/30/2025,$33.00,64409030,$33.00,$33.00,$33.00
07/29/2025,$33.00,64409030,$33.00,$33.00,$33.00
07/28/2025,$33.00,64409030,$33.00,$33.00,$33.00
07/27/2025,$33.00,64409030,$33.00,$33.00,$33.00
